1	Agua mineral  - Lanjaron - 2 l.	2 L	Lanjaron	Agua sin gas	Agua Mineral	Bebidas y Zumos	Botella plastico	Litro
2	Agua mineral - Lanjaron - tapon sport pack 6	75 cl	Lanjaron	Agua sin gas	Agua Mineral	Bebidas y Zumos	Botella plastico	Litro
3	Cerveza Bavaria 8.6 Pack 6	33 cl	Bavaria	Cerveza rubia importacion	Cerveza	Bebidas y Zumos	Botella cristal	Litro
4	Cerveza Mahou Clasica Pack 12	33 cl	Mahou	Cerveza rubia nacional	Cerveza	Bebidas y Zumos	Lata	Litro
5	Costa Bebida de Soja y Naranja 1 L	1 L	Costa	Zumos y nectares diversos	Zumos y nectares	Bebidas y Zumos	Brik	Litro
6	Cerveza 1925 - Alhambra - pack de 6	33 cl	Alhambra	Cerveza rubia nacional	Cerveza	Bebidas y Zumos	Botella cristal	Litro
7	Cerveza - Voll-Damm - 33 cl	33 cl	Voll-Damm	Cerveza doble malta nacional	Cerveza	Bebidas y Zumos	Lata	Litro
8	Cerveza - Xibeca - 33 cl.	33 cl	Xibeca	Cerveza rubia nacional	Cerveza	Bebidas y Zumos	Lata	Litro
9	Cerveza - Alhambra - 33 CL	33 cl	Alhambra	Cerveza rubia nacional	Cerveza	Bebidas y Zumos	Lata	Litro
10	Cerveza - Alhambra - 50 CL	50 cl	Alhambra	Cerveza rubia nacional	Cerveza	Bebidas y Zumos	Lata	Litro
11	Leche Calcio entera - Puleva	1 L	Puleva	Leche entera esterilizada	Leche y preparados lacteos	Lacteos y huevos	Brik	Litro
12	Leche Calcio desnatada - Puleva	1 L	Puleva	Leche desnatada esterilizada	Leche y preparados lacteos	Lacteos y huevos	Brik	Litro
13	Bifidus liquido de avena y zanahoria - Puleva Omega3	750 gr	Puleva	Preparados Lacteos Liquidos	Leche y preparados lacteos	Lacteos y huevos	Botella blanca	Kilo
14	Leche semidesnatada - Central Lechera Asturiana	1,5 L	Central Lechera Asturiana	Leche semidesnatada esterilizada	Leche y preparados lacteos	Lacteos y huevos	Botella blanca	Litro
15	Leche desnatada con vitaminas A y D - CL Asturiana	1 L	Central Lechera Asturiana	Leche desnatada esterilizada	Leche y preparados lacteos	Lacteos y huevos	Brik	Litro
16	Yogur desnatado Vegetanea - CL Asturiana	125 gr	Central Lechera Asturiana	Preparados Lacteos Liquidos	Leche y preparados lacteos	Lacteos y huevos	Botella blanca	Kilo
17	Flan de huevo al baño Maria - Dhul	110 gr	Dhul	Flanes	Postres diversos	Lacteos y huevos	Vaso plastico	Kilo
18	Flan de huevo Omega-3 - Dhul	110 gr	Dhul	Flanes	Postres diversos	Lacteos y huevos	Vaso plastico	Kilo
19	Copa de crema de chocolate y nata - Danone	100 gr	Danone	Postres lacteos diversos	Postres diversos	Lacteos y huevos	Vaso plastico	Kilo
20	Arroz con leche al chocolate - Danone	140 gr	Danone	Postres lacteos diversos	Postres diversos	Lacteos y huevos	Vaso plastico	Kilo
21	Aceite de oliva virgen extra - Hojiblanca	1 L	Hojiblanca	Aceite de oliva virgen	Aceites y vinagres	Ultramarinos	Botella plastico	Litro
22	Aceite de oliva virgen extra - Almazara Real	1 L	Almazara Real	Aceite de oliva virgen	Aceites y vinagres	Ultramarinos	Botella plastico	Litro
23	Aceite de oliva virgen extra, 0,4º - Hojiblanca	5 L	Hojiblanca	Aceite de oliva virgen	Aceites y vinagres	Ultramarinos	Botella plastico	Litro
24	Aceite de oliva virgen extra - Almazara Real - 5	5 L	Almazara Real	Aceite de oliva virgen	Aceites y vinagres	Ultramarinos	Botella plastico	Litro
25	Vinagre balsamico de Modena - Borges	250 ml	Hojiblanca	Vinagres	Aceites y vinagres	Ultramarinos	Botella cristal	Litro
26	Vinagre de manzana - Hojiblanca	500 ml	Hojiblanca	Vinagres	Aceites y vinagres	Ultramarinos	Botella cristal	Litro
27	Mayonesa - Hellmann´s	450 ml	Hellmann´s	Mayonesas	Salsas, ketchup y mostazas	Ultramarinos	Bote cristal	Litro
28	Mayonesa sabor casero - Calve	450 ml	Calve	Mayonesas	Salsas, ketchup y mostazas	Ultramarinos	Bote cristal	Litro
29	Salsa fina extra ligera - Calve	450 ml	Calve	Salsas finas	Salsas, ketchup y mostazas	Ultramarinos	Bote cristal	Litro
30	Mostaza - Calve	250 ml	Calve	Mostaza	Salsas, ketchup y mostazas	Ultramarinos	Bote cristal	Litro
31	Lentejas extra - El Hostal	1 Kgr	El Hostal	Lentejas	Legumbres	Ultramarinos	Paquete plastico	Kilo
32	Lenteja pardina extra - Garrido	1 Kgr	Garrido	Lentejas	Legumbres	Ultramarinos	Paquete plastico	Kilo
33	Garbanzos extra - El Hostal	1 Kgr	El Hostal	Garbanzos	Legumbres	Ultramarinos	Paquete plastico	Kilo
34	Garbanzos gordos extra - La Salmantina	1 Kgr	La Salmantina	Garbanzos	Legumbres	Ultramarinos	Paquete plastico	Kilo
35	Garbanzos - Luengo	1 Kgr	Luengo	Garbanzos	Legumbres	Ultramarinos	Paquete plastico	Kilo
36	Alubia blanca riñon extra - La Salmantina	1 Kgr	La Salmantina	Alubias	Legumbres	Ultramarinos	Paquete plastico	Kilo
37	Alubia blanca larga extra - Garrido	1 Kgr	Garrido	Alubias	Legumbres	Ultramarinos	Paquete plastico	Kilo
38	Alubia blanca larga extra - El Hostal	1 Kgr	El Hostal	Alubias	Legumbres	Ultramarinos	Paquete plastico	Kilo
39	Alubia blanca - Luengo	1 Kgr	Luengo	Alubias	Legumbres	Ultramarinos	Paquete plastico	Kilo
40	Azucar moreno de caña - Azucarera Española	1 Kgr	Azucarera Española	Azucar	Azucar y sal	Ultramarinos	Paquete plastico	Kilo
41	Azucar blanco - Azucarera Española	1 Kgr	Azucarera Española	Azucar	Azucar y sal	Ultramarinos	Paquete papel	Kilo
42	Sal marina natural - Sal Costa	500 gr	Sal Costa	Sal	Azucar y sal	Ultramarinos	Bote plastico	Kilo
43	Sal hiposodica - Sal Costa	180 gr	Sal Costa	Sal	Azucar y sal	Ultramarinos	Bote plastico	Kilo
44	Tallarin - Gallo	500 gr	Gallo	Tallarines	Pastas	Ultramarinos	Paquete plastico	Kilo
45	Tallarines - Ardilla	500 gr	Ardilla	Tallarines	Pastas	Ultramarinos	Paquete plastico	Kilo
46	Spaghetti - Ardilla	500 gr	Ardilla	Espaguetis	Pastas	Ultramarinos	Paquete plastico	Kilo
47	Spaghetti con fibra - Ardilla	500 gr	Ardilla	Espaguetis	Pastas	Ultramarinos	Paquete plastico	Kilo
48	Spaghetti al huevo - Gallo	500 gr	Gallo	Espaguetis	Pastas	Ultramarinos	Paquete plastico	Kilo
49	Limpia cristales - Cristasol	1 L	Cristasol	Limpiacristales	Limpiadores del hogar	Drogueria y Limpieza	Botella plastico	Litro
50	Limpia cristales con amoniaco - Tenn	1 L	Tenn	Limpiacristales	Limpiadores del hogar	Drogueria y Limpieza	Botella plastico	Litro
51	Lejia amarilla - Conejo	2 L	Conejo	Lejias	Limpiadores del hogar	Drogueria y Limpieza	Botella plastico	Litro
52	Detergente liquido a mano - Ariel	750 ml	Ariel	Detergente a mano y jabon comun	Detergentes para la ropa	Drogueria y Limpieza	Botella plastico	Litro
53	Detergente en polvo - Ariel	2 Kgr	Ariel	Detergente maquina polvo	Detergentes para la ropa	Drogueria y Limpieza	Caja carton	Kilo
54	Detergente en polvo - Colon	2 Kgr	Colon	Detergente maquina polvo	Detergentes para la ropa	Drogueria y Limpieza	Caja carton	Kilo
55	Papel de cocina reutilizable - Colhogar	No aplicable	Colhogar	Rollos de cocina	Articulos de celulosa	Drogueria y Limpieza	Paquete plastico	No aplicable
56	Papel higienico - Colhogar Dermia Plus	No aplicable	Colhogar	Papel higienico	Articulos de celulosa	Drogueria y Limpieza	Paquete plastico	No aplicable
57	Papel higienico - Scottex	No aplicable	Scottex	Papel higienico	Articulos de celulosa	Drogueria y Limpieza	Paquete plastico	No aplicable
58	Vino tinto - Marques de Buxarra	75 cl	Marques de Buxarra	Vino tinto Andalucia	Vino tinto	Vinos y licores	Botella cristal	Litro
59	Vino tinto D.O.C. Rioja Joven - Romeral	75 cl	Romeral	Vino tinto joven La Rioja	Vino tinto	Vinos y licores	Botella cristal	Litro
60	Vino tinto D.O. Cataluña Joven - Conde de Caralt	75 cl	Conde de Caralt	Vino tinto Cataluña	Vino tinto	Vinos y licores	Botella cristal	Litro